% Using data from: data/PS3.json
@relation "mc_scores"

@attribute "mc_title" string
@attribute "platform" string
@attribute "1UP" real
@attribute "3DJuegos" real
@attribute "4Players.de" real
@attribute "9Lives" real
@attribute "Absolute_Games" real
@attribute "AceGamez" real
@attribute "ActionTrip" real
@attribute "Adventure_Gamers" real
@attribute "Armchair_Empire" real
@attribute "AtomicGamer" real
@attribute "AusGamers" real
@attribute "BigPond_GameArena" real
@attribute "Boomtown" real
@attribute "CD-Action" real
@attribute "Canadian_Online_Gamers" real
@attribute "Cheat_Code_Central" real
@attribute "Computer_Games_Online_RO" real
@attribute "Computer_and_Video_Games" real
@attribute "Console_Gameworld" real
@attribute "Console_Monster" real
@attribute "Cynamite" real
@attribute "D+PAD_Magazine" real
@attribute "Da_Gameboyz" real
@attribute "DailyGame" real
@attribute "DarkStation" real
@attribute "DarkZero" real
@attribute "Deeko" real
@attribute "Destructoid" real
@attribute "Detroit_Free_Press" real
@attribute "Digital_Chumps" real
@attribute "Digital_Entertainment_News" real
@attribute "Digital_Spy" real
@attribute "EGM" real
@attribute "Edge_Magazine" real
@attribute "Electronic_Gaming_Monthly" real
@attribute "Eurogamer" real
@attribute "Eurogamer_Germany" real
@attribute "Eurogamer_Italy" real
@attribute "Eurogamer_Portugal" real
@attribute "Eurogamer_Spain" real
@attribute "Eurogamer_Sweden" real
@attribute "Everyeye.it" real
@attribute "Extreme_Gamer" real
@attribute "G4_TV" real
@attribute "GRYOnline.pl" real
@attribute "Game_Almighty" real
@attribute "Game_Chronicles" real
@attribute "Game_Informer" real
@attribute "Game_Over_Online" real
@attribute "Game_Positive" real
@attribute "Game_Revolution" real
@attribute "GameBrink" real
@attribute "GameCritics" real
@attribute "GameDaily" real
@attribute "GameFocus" real
@attribute "GameFront" real
@attribute "GameOver.gr" real
@attribute "GamePro" real
@attribute "GameShark" real
@attribute "GameSpot" real
@attribute "GameSpy" real
@attribute "GameTap" real
@attribute "GameTrailers" real
@attribute "GameZone" real
@attribute "Gameblog.fr" real
@attribute "Gamekult" real
@attribute "Gameplanet" real
@attribute "Gameplayer" real
@attribute "Gameplayer_Sweden" real
@attribute "Gamer_2.0" real
@attribute "Gamer_Limit" real
@attribute "Gamer's_Hell" real
@attribute "Gamer.nl" real
@attribute "Gamer.no" real
@attribute "GamerNode" real
@attribute "Gamereactor_Denmark" real
@attribute "Gamereactor_Sweden" real
@attribute "Gamers'_Temple" real
@attribute "Gamers.at" real
@attribute "Gamervision" real
@attribute "Games_Master_UK" real
@attribute "Games.cz" real
@attribute "GamesBeat" real
@attribute "GamesNation" real
@attribute "GamesRadar" real
@attribute "Gamestyle" real
@attribute "Gaming_Age" real
@attribute "Gaming_Horizon" real
@attribute "Gaming_Illustrated" real
@attribute "Gaming_Nexus" real
@attribute "Gaming_Target" real
@attribute "GamingExcellence" real
@attribute "GamingTrend" real
@attribute "GamingXP" real
@attribute "Giant_Bomb" real
@attribute "GotNext" real
@attribute "Guardian" real
@attribute "Hardcore_Gamer_Magazine" real
@attribute "HellBored" real
@attribute "Hyper_Magazine" real
@attribute "IC-Games" real
@attribute "IGN" real
@attribute "IGN_AU" real
@attribute "IGN_Italia" real
@attribute "IGN_UK" real
@attribute "Impulsegamer" real
@attribute "IncGamers" real
@attribute "InsideGamer.nl" real
@attribute "JeuxActu" real
@attribute "Jolt_Online_Gaming_UK" real
@attribute "Joystiq" real
@attribute "Just_RPG" real
@attribute "Kikizo" real
@attribute "Kombo" real
@attribute "LEVEL_(Czech_Republic)" real
@attribute "LaPS3" real
@attribute "Lazygamer" real
@attribute "Level7.nu" real
@attribute "LevelUp" real
@attribute "MEGamers" real
@attribute "Machinima" real
@attribute "Maxi_Consolas_(Portugal)" real
@attribute "Meristation" real
@attribute "Metro_GameCentral" real
@attribute "Multiplayer.it" real
@attribute "My_Gamer" real
@attribute "NTSC-uk" real
@attribute "NZGamer" real
@attribute "Next_Level_Gaming" real
@attribute "NowGamer" real
@attribute "Official_PlayStation_Magazine_Benelux" real
@attribute "Official_Playstation_2_Magazine_UK" real
@attribute "Official_U.S._Playstation_Magazine" real
@attribute "Operation_Sports" real
@attribute "PALGN" real
@attribute "PGNx_Media" real
@attribute "PS3bloggen.se" real
@attribute "PSFocus" real
@attribute "PSM_Magazine" real
@attribute "PSM3_Magazine_UK" real
@attribute "PSW_Magazine_UK" real
@attribute "PSX_Extreme" real
@attribute "PSX-Sense.nl" real
@attribute "PTGamers" real
@attribute "Pelit_(Finland)" real
@attribute "Play_Magazine" real
@attribute "Play_UK" real
@attribute "Play.tm" real
@attribute "PlayStation_LifeStyle" real
@attribute "Playstation_Official_Magazine_Australia" real
@attribute "Playstation_Official_Magazine_UK" real
@attribute "Playstation_Universe" real
@attribute "Playstation:_The_Official_Magazine_(US)" real
@attribute "Polygon" real
@attribute "Post_Arcade_(National_Post)" real
@attribute "Pure_Magazine_UK" real
@attribute "Push_Square" real
@attribute "Quarter_to_Three" real
@attribute "RPG_Fan" real
@attribute "RPGamer" real
@attribute "RealGamer" real
@attribute "Riot_Pixels" real
@attribute "SpazioGames" real
@attribute "Strategy_Informer" real
@attribute "Sydney_Morning_Herald" real
@attribute "Telegraph" real
@attribute "The_A.V._Club" real
@attribute "The_Digital_Fix" real
@attribute "The_Escapist" real
@attribute "The_Globe_and_Mail_(Toronto)" real
@attribute "The_New_York_Times" real
@attribute "TheSixthAxis" real
@attribute "Thunderbolt" real
@attribute "Toronto_Sun" real
@attribute "Total_Video_Games" real
@attribute "TotalPlayStation" real
@attribute "UGO" real
@attribute "VGPub" real
@attribute "Vandal_Online" real
@attribute "Variety" real
@attribute "Video_Game_Talk" real
@attribute "VideoGamer" real
@attribute "Videogameszone.de" real
@attribute "WHAM!_Gaming" real
@attribute "Wired" real
@attribute "WonderwallWeb" real
@attribute "Worth_Playing" real
@attribute "XGN" real
@attribute "Xbox_World_360_Magazine_UK" real
@attribute "Yahoo!_Games" real
@attribute "ZTGD" real
@attribute "eToychest" real
@attribute "games(TM)" real
@attribute "netjak" real
@attribute "mc_score" real

@data
"Record of Agarest War 2","PS3",?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,43,?,?,?,40,?,70,?,?,?,?,?,82,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,56
"Puss in Boots","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,72,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70
"WRC: FIA World Rally Championship","PS3",?,65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,80,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,60,50,?,?,?,?,?,?,70,60,?,?,50,?,?,?,79,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,54,?,?,?,?,?,?,?,?,76,?,60,80,?,65,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,70,?,?,60,?,?,?,?,?,65,?,?,?,?,?,?,68
"Yakuza: Dead Souls","PS3",?,60,58,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,70,70,?,?,70,80,65,?,60,?,?,?,78,50,?,70,?,?,?,66,?,60,?,58,55,?,?,68,?,60,?,60,?,?,?,?,?,60,?,?,?,60,?,?,?,76,?,?,?,60,?,42,?,?,?,?,?,?,68,?,?,?,?,?,?,?,50,?,?,?,50,?,?,?,?,60,?,?,?,60,?,?,50,?,?,80,?,?,60,55,?,?,65,?,?,71,?,?,?,?,?,?,69,?,80,?,?,?,?,75,?,60,?,?,50,60,75,70,?,?,?,60,?,?,50,?,?,70,75,?,?,?,?,?,?,?,?,60,?,?,?,67,?,60,?,?,?,?,?,?,?,65,70,?,?,50,?,50,?,64
"Apache: Air Assault","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,58,?,?,?,?,?,?,?,75,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,60,70,?,?,40,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,77,?,?,?,70,?,?,?,?,75,?,?,?,?,?,?,66
"James Bond 007: Blood Stone","PS3",67,68,?,?,?,?,?,?,65,?,?,?,?,?,?,74,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,70,?,?,?,85,75,?,?,?,?,?,?,44,?,?,?,?,75,?,?,?,?,60,50,65,?,?,?,65,?,60,?,?,?,50,?,?,?,?,?,?,?,60,60,?,?,?,?,60,75,68,73,60,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,70,66,?,75,?,?,?,?,?,?,70,?,?,76,?,45,?,75,?,?,?,?,68,?,60,60,70,60,70,?,?,?,?,?,?,?,40,?,69,75,?,?,?,?,?,?,?,?,?,?,?,60,?,?,73,?,?,50,80,?,?,?,60,70,?,?,75,?,50,?,65
"Faery: Legends of Avalon","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,58,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,58,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,72,?,?,?,?,?,?,60,?,30,?,60,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,57
"Fight Night Champion","PS3",83,88,?,?,?,?,?,?,?,?,?,?,?,?,?,84,?,?,?,?,?,?,?,?,100,?,?,?,?,86,?,?,?,90,?,?,?,80,90,?,80,?,82,?,?,?,?,90,91,?,100,?,?,?,90,?,?,?,91,85,?,?,93,?,80,70,75,?,?,?,?,?,80,?,?,?,80,?,?,?,?,?,?,?,80,?,100,?,?,?,?,?,?,85,?,?,?,?,?,?,?,80,?,?,?,86,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,85,70,?,?,?,80,?,?,?,?,?,?,?,?,?,89,?,70,?,88,?,?,?,?,88,?,100,90,70,85,80,?,?,?,?,?,?,?,?,?,90,90,?,?,?,?,?,?,?,80,70,?,80,80,?,?,91,?,?,70,90,?,?,?,85,85,?,?,90,?,?,?,84
"Green Lantern: Rise of the Manhunters","PS3",?,64,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,62,?,?,?,?,?,?,61,?,?,?,50,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,61
"Street Fighter X Tekken","PS3",?,90,?,?,?,?,?,?,?,?,?,?,?,85,?,78,?,?,?,?,?,80,?,?,70,90,?,?,?,?,?,80,85,?,?,?,90,?,90,80,80,?,?,90,?,?,?,88,?,?,?,?,?,?,?,?,85,?,91,85,?,?,83,?,?,?,70,?,?,?,?,?,90,?,?,?,80,?,?,?,82,80,?,?,?,?,?,?,?,?,?,?,83,90,60,?,?,?,?,90,?,90,?,?,?,90,90,?,?,?,?,?,?,?,80,?,?,?,?,90,?,?,?,90,?,?,?,82,?,?,91,?,?,?,?,?,?,75,?,88,?,84,?,?,?,?,83,?,?,90,90,75,90,?,?,?,70,?,?,?,?,?,80,?,?,?,?,?,?,?,?,80,?,?,?,85,?,?,90,?,?,80,?,?,?,?,?,?,?,?,90,?,80,?,84
"Marvel Super Hero Squad: The Infinity Gauntlet","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,54
"Harry Potter and the Deathly Hallows, Part 2","PS3",?,54,?,?,?,?,?,?,?,?,?,?,?,?,?,46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,64,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,20,30,?,?,?,?,?,?,40,30,?,40,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,61,?,?,?,?,?,?,37,?,?,?,40,?,50,?,?,?,?,?,?,?,?,?,?,35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,43
"Disney Sing It: Family Hits","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,78,?,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,72
"Create","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,60,?,?,?,65,?,?,?,?,69,50,?,?,?,?,?,?,68,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,72,?,?,?,40,?,?,?,?,?,?,?,68,70,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,81,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,71,?,?,?,60,?,70,?,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,61
"Operation Flashpoint: Red River","PS3",?,78,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,66,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,60,?,?,50,?,?,?,70,?,60,?,?,65,?,?,?,?,80,?,?,?,?,?,?,?,70,70,60,70,60,?,83,?,?,?,?,?,60,?,?,?,?,?,?,50,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,70,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,81,?,58,?,?,?,?,?,?,75,?,?,80,80,?,60,?,?,?,?,?,?,?,?,?,70,80,?,?,?,?,?,?,?,?,?,?,70,50,?,?,75,?,?,70,60,?,?,?,?,75,?,?,?,?,?,?,67
"Ace Combat Assault Horizon","PS3",33,81,?,?,?,?,?,?,?,?,?,?,?,73,?,78,?,?,?,?,85,?,?,?,?,?,?,?,?,78,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,83,86,?,?,?,?,?,?,?,?,80,?,55,?,?,?,?,?,60,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,88,?,?,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,83,?,79,?,80,?,?,?,?,78,?,?,80,80,?,90,?,?,?,?,?,?,?,?,?,?,75,?,?,42,?,?,?,?,?,?,?,?,80,?,?,87,?,?,80,?,?,?,?,85,80,?,?,?,?,?,?,77
"BioShock Infinite","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,100,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,100,?,?,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,94,?,?,?,?,?,95,?,?,?,?,?,?,?,100,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,96,?,?,?,?,?,?,100,?,100,95,?,?,90,?,?,?,?,?,?,?,95,?,?,?,?,?,?,90,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,95,?,?,?,?,?,?,95
"Top Gun","PS3",25,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,45,?,?,55,?,?,30,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,50,?,?,?,?,40,?,?,?,50,?,?,?,65,?,?,?,?,65,?,?,?,35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,25,?,?,?,40,?,?,?,?,?,?,?,?,?,?,45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,64,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,64,?,?,?,?,53,?,60,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,60,?,?,60,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,49
"Catherine","PS3",100,85,86,?,?,?,?,?,?,?,?,90,?,75,?,92,?,?,?,?,?,?,?,?,?,?,?,90,?,90,?,80,?,70,?,?,90,90,70,?,90,?,?,?,?,?,85,70,?,?,91,?,?,?,?,?,70,80,?,85,?,?,78,?,80,?,?,?,?,?,90,?,?,?,80,?,?,?,?,?,72,90,?,?,80,90,67,?,?,?,?,95,85,?,40,?,?,?,?,?,?,90,?,?,?,72,?,?,?,?,?,?,?,?,?,?,?,90,?,?,85,?,85,80,87,?,?,?,?,?,83,?,?,?,80,?,?,86,?,?,?,88,?,?,84,?,61,?,70,80,70,85,70,?,?,?,50,?,?,?,?,?,87,85,?,?,91,?,?,?,?,90,?,?,?,?,?,?,90,?,?,70,85,?,?,?,90,75,?,?,?,?,50,?,79
"Virtua Tennis 4","PS3",?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,80,?,80,80,80,50,65,?,?,?,?,?,?,74,?,67,?,?,?,53,?,70,70,?,55,?,?,?,?,60,50,?,?,?,?,?,?,70,?,?,?,50,88,?,?,63,?,?,?,50,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,66,?,?,?,?,?,?,?,?,50,?,?,70,?,?,?,?,75,70,75,?,?,76,?,?,?,?,?,?,80,?,?,69,?,62,?,66,?,?,?,?,79,?,60,80,70,?,70,?,?,?,?,?,?,?,?,?,70,75,?,?,?,?,?,?,?,80,?,?,70,70,?,?,71,?,?,?,84,?,?,?,65,80,?,?,?,?,?,?,69
"Megamind: Ultimate Showdown","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,57,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,43
"Get Fit With Mel B","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,78,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,73
"Cabela's Dangerous Hunts 2011","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60
"Tokyo Jungle","PS3",?,75,77,?,?,?,?,?,?,?,86,65,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,60,?,70,?,90,70,80,70,?,70,80,?,50,?,?,?,70,?,?,?,?,80,?,?,?,?,?,?,50,?,?,77,?,80,?,65,?,?,?,?,?,?,40,?,30,?,?,?,?,80,70,85,?,50,?,100,?,?,?,?,?,?,?,80,?,80,90,?,90,?,80,?,?,?,?,?,73,75,?,?,?,?,?,70,?,?,70,?,?,80,?,75,70,72,?,?,70,?,?,80,?,?,?,?,?,?,?,?,?,?,?,75,?,78,?,81,?,30,80,70,75,70,80,?,?,90,?,?,?,?,?,?,?,?,?,?,?,90,?,?,80,?,?,?,?,?,?,78,?,?,70,?,?,?,?,?,70,?,?,77,?,70,?,74
"Earth Defense Force: Insect Armageddon","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,50,?,?,?,?,?,80,?,?,75,?,?,?,?,?,?,?,?,70,?,?,?,?,?,60,?,?,?,?,?,?,50,?,40,?,?,?,?,?,?,?,?,?,?,?,33,?,?,?,?,?,?,77,40,?,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,55,?,?,41,?,60,?,79,?,?,?,?,64,?,40,50,70,?,70,?,?,?,?,?,?,?,?,?,?,75,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,80,70,?,?,?,?,?,?,63
"Back to the Future: The Game - Episode I: It's About Time","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,91,?,?,?,?,?,?,90,?,75,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,80,?,?,?,?,71,?,?,80,60,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75
