% Using data from: data/X360.json
@relation "mc_scores"

@attribute "mc_title" string
@attribute "platform" string
@attribute "1UP" real
@attribute "360_Gamer_Magazine_UK" real
@attribute "3DAvenue" real
@attribute "3DJuegos" real
@attribute "4Players.de" real
@attribute "9Lives" real
@attribute "Absolute_Games" real
@attribute "AceGamez" real
@attribute "ActionTrip" real
@attribute "Adrenaline_Vault" real
@attribute "Adventure_Gamers" real
@attribute "Armchair_Empire" real
@attribute "AtomicGamer" real
@attribute "AusGamers" real
@attribute "BigPond_GameArena" real
@attribute "Bit-Gamer" real
@attribute "BonusStage" real
@attribute "Boomtown" real
@attribute "CD-Action" real
@attribute "Canadian_Online_Gamers" real
@attribute "Cheat_Code_Central" real
@attribute "Cincinnati_Enquirer" real
@attribute "Computer_Games_Magazine" real
@attribute "Computer_Games_Online_RO" real
@attribute "Computer_and_Video_Games" real
@attribute "Console_Gameworld" real
@attribute "Console_Monster" real
@attribute "Cynamite" real
@attribute "D+PAD_Magazine" real
@attribute "Da_Gameboyz" real
@attribute "DailyGame" real
@attribute "DarkStation" real
@attribute "DarkZero" real
@attribute "Deeko" real
@attribute "Destructoid" real
@attribute "Detroit_Free_Press" real
@attribute "Digital_Chumps" real
@attribute "Digital_Entertainment_News" real
@attribute "Digital_Spy" real
@attribute "EGM" real
@attribute "Edge_Magazine" real
@attribute "Electric_Playground" real
@attribute "Electronic_Gaming_Monthly" real
@attribute "Entertainment_Weekly" real
@attribute "Eurogamer" real
@attribute "Eurogamer_Germany" real
@attribute "Eurogamer_Italy" real
@attribute "Eurogamer_Portugal" real
@attribute "Eurogamer_Spain" real
@attribute "Eurogamer_Sweden" real
@attribute "Everyeye.it" real
@attribute "Extreme_Gamer" real
@attribute "Firing_Squad" real
@attribute "Four_Fat_Chicks" real
@attribute "G4_TV" real
@attribute "GRYOnline.pl" real
@attribute "Game_Almighty" real
@attribute "Game_Chronicles" real
@attribute "Game_Informer" real
@attribute "Game_Over_Online" real
@attribute "Game_Positive" real
@attribute "Game_Power_Australia" real
@attribute "Game_Revolution" real
@attribute "GameBiz" real
@attribute "GameBrink" real
@attribute "GameCritics" real
@attribute "GameDaily" real
@attribute "GameFocus" real
@attribute "GameFront" real
@attribute "GameOver.gr" real
@attribute "GamePro" real
@attribute "GameShark" real
@attribute "GameSpot" real
@attribute "GameSpy" real
@attribute "GameTap" real
@attribute "GameTrailers" real
@attribute "GameZone" real
@attribute "Gameblog.fr" real
@attribute "Gamekult" real
@attribute "Gamenikki" real
@attribute "Gameplanet" real
@attribute "Gameplayer" real
@attribute "Gameplayer_Sweden" real
@attribute "Gamer_2.0" real
@attribute "Gamer_Limit" real
@attribute "Gamer's_Hell" real
@attribute "Gamer.nl" real
@attribute "Gamer.no" real
@attribute "GamerFeed" real
@attribute "GamerNode" real
@attribute "Gamereactor_Denmark" real
@attribute "Gamereactor_Sweden" real
@attribute "Gamers_Europe" real
@attribute "Gamers'_Temple" real
@attribute "Gamers.at" real
@attribute "Gamervision" real
@attribute "Games_Master_UK" real
@attribute "Games_Radar" real
@attribute "Games.cz" real
@attribute "GamesBeat" real
@attribute "GamesNation" real
@attribute "GamesRadar" real
@attribute "Gamestyle" real
@attribute "Gamezilla!" real
@attribute "Gaming_Age" real
@attribute "Gaming_Horizon" real
@attribute "Gaming_Illustrated" real
@attribute "Gaming_Nexus" real
@attribute "Gaming_Target" real
@attribute "GamingExcellence" real
@attribute "GamingTrend" real
@attribute "GamingXP" real
@attribute "Giant_Bomb" real
@attribute "GotNext" real
@attribute "Guardian" real
@attribute "Hardcore_Gamer_Magazine" real
@attribute "HellBored" real
@attribute "Hyper_Magazine" real
@attribute "IC-Games" real
@attribute "IGN" real
@attribute "IGN_AU" real
@attribute "IGN_Italia" real
@attribute "IGN_UK" real
@attribute "Impulsegamer" real
@attribute "IncGamers" real
@attribute "InsideGamer.nl" real
@attribute "Into_Liquid_Sky" real
@attribute "JeuxActu" real
@attribute "Jolt_Online_Gaming_UK" real
@attribute "Joystiq" real
@attribute "Just_Adventure" real
@attribute "Just_RPG" real
@attribute "Kikizo" real
@attribute "Kombo" real
@attribute "LEVEL_(Czech_Republic)" real
@attribute "Lazygamer" real
@attribute "Level7.nu" real
@attribute "LevelUp" real
@attribute "MEGamers" real
@attribute "MS_Xbox_World" real
@attribute "Machinima" real
@attribute "Maxi_Consolas_(Portugal)" real
@attribute "Maxim_Online" real
@attribute "Meristation" real
@attribute "Metro_GameCentral" real
@attribute "MondoXbox" real
@attribute "Multiplayer.it" real
@attribute "My_Gamer" real
@attribute "NTSC-uk" real
@attribute "NZGamer" real
@attribute "Next_Level_Gaming" real
@attribute "NowGamer" real
@attribute "Official_Xbox_Magazine" real
@attribute "Official_Xbox_Magazine_UK" real
@attribute "Operation_Sports" real
@attribute "PALGN" real
@attribute "PGNx_Media" real
@attribute "PTGamers" real
@attribute "Pelit_(Finland)" real
@attribute "Planet_Xbox_360" real
@attribute "Play_Magazine" real
@attribute "Play.tm" real
@attribute "Polygon" real
@attribute "Post_Arcade_(National_Post)" real
@attribute "Quarter_to_Three" real
@attribute "RPG_Fan" real
@attribute "RPGamer" real
@attribute "RealGamer" real
@attribute "RewiredMind" real
@attribute "SpazioGames" real
@attribute "Strategy_Informer" real
@attribute "Stuff" real
@attribute "Sydney_Morning_Herald" real
@attribute "Talk_Xbox" real
@attribute "TeamXbox" real
@attribute "Telegraph" real
@attribute "Ten_Ton_Hammer" real
@attribute "The_A.V._Club" real
@attribute "The_Digital_Fix" real
@attribute "The_Escapist" real
@attribute "The_Globe_and_Mail_(Toronto)" real
@attribute "The_New_York_Times" real
@attribute "Thunderbolt" real
@attribute "Times_Online" real
@attribute "Toronto_Sun" real
@attribute "Total_Video_Games" real
@attribute "Totally360" real
@attribute "UGO" real
@attribute "VGPub" real
@attribute "Vandal_Online" real
@attribute "Variety" real
@attribute "Video_Game_Talk" real
@attribute "VideoGamer" real
@attribute "Videogameszone.de" real
@attribute "WHAM!_Gaming" real
@attribute "Wired" real
@attribute "WonderwallWeb" real
@attribute "Worth_Playing" real
@attribute "X360_Magazine_UK" real
@attribute "XGN" real
@attribute "XGP_Gaming" real
@attribute "Xbox_Evolved" real
@attribute "Xbox_Solution" real
@attribute "Xbox_World_360_Magazine_UK" real
@attribute "Xbox_World_Australia" real
@attribute "Xbox360Achievements" real
@attribute "XboxAddict" real
@attribute "Xboxic" real
@attribute "Xequted" real
@attribute "Yahoo!_Games" real
@attribute "ZTGD" real
@attribute "eToychest" real
@attribute "games(TM)" real
@attribute "netjak" real
@attribute "mc_score" real

@data
"Sonic Free Riders","X360",25,?,?,55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,60,?,?,60,?,?,?,?,?,?,66,?,?,?,?,?,?,?,40,?,40,?,?,?,?,?,?,?,?,?,?,82,58,?,?,?,?,?,?,?,?,46,?,?,?,25,45,?,?,45,25,20,40,?,?,?,?,?,?,?,40,?,?,?,60,30,?,48,?,?,39,?,?,?,?,40,?,?,16,?,?,42,?,?,?,52,?,?,?,?,?,?,?,75,?,?,?,70,?,?,?,?,?,20,?,?,?,?,?,?,?,?,56,75,?,?,?,60,20,65,65,50,?,66,?,?,75,40,?,?,?,?,?,50,?,?,?,?,?,?,?,50,?,45,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,55,?,30,30,?,?,?,?,60,30,55,?,?,?,35,?,?,30,?,?,?,60,?,?,?,47
"MotionSports","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,52,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,25,?,?,?,?,?,?,?,?,?,35,?,?,41,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,40,?,?,?,?,40,?,?,33,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,23,55,?,?,?,?,20,50,50,?,?,35,?,?,35,50,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,40,?,?,?,?,60,40,?,?,?,?,28,?,45,?,?,?,?,?,?,?,?,40
"Rayman Origins","X360",91,?,?,92,?,?,?,?,?,?,?,?,?,92,?,?,?,?,80,?,88,?,?,?,?,?,93,90,90,?,?,80,?,?,90,?,?,?,?,100,80,?,?,?,?,?,90,?,?,90,?,?,?,?,?,90,?,97,85,90,?,?,?,?,?,?,?,95,?,95,?,?,85,?,?,85,?,100,80,?,?,?,?,?,?,?,?,?,?,80,?,90,?,?,?,?,88,?,80,?,?,90,90,?,?,?,?,?,?,?,?,?,100,?,?,?,?,?,?,95,?,?,?,?,90,?,?,?,?,100,?,?,?,?,50,?,?,?,80,?,95,?,?,90,?,90,?,?,?,?,?,?,85,90,?,?,?,?,?,96,?,?,?,?,?,?,?,?,?,85,90,?,?,?,?,80,?,?,?,90,?,?,?,?,?,?,?,?,?,90,?,?,80,?,?,?,?,?,60,92,?,?,?,86,90,89,97,?,?,?,?,?,70,?,87
"Michael Jackson The Experience","X360",?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,80,?,?,?,?,?,64,?,?,?,?,?,?,?,70,?,60,?,?,?,?,?,?,?,?,?,?,51,78,?,?,?,?,?,?,?,?,80,?,?,?,?,60,?,?,?,?,60,60,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,69,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,60,95,?,?,?,?,?,?,60,70,?,55,?,?,68,68,?,?,?,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,57,?,?,30,?,?,?,?,?,50,?,?,?,?,60,?,65,82,?,?,?,?,?,?,?,63
"Mindjack","X360",25,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,26,?,?,?,?,?,?,?,?,48,?,?,?,?,50,?,?,?,?,?,30,?,?,?,60,?,40,?,40,?,?,?,?,?,?,?,?,?,50,30,?,?,?,?,?,30,?,50,?,40,50,67,50,?,?,46,?,?,20,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,25,56,?,?,41,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,40,30,50,?,?,?,?,?,?,40,30,?,?,?,?,?,50,?,?,?,?,?,?,?,30,?,35,?,?,?,?,?,?,?,42,?,?,?,?,?,?,?,?,50,?,?,?,?,30,?,?,?,?,?,?,50,50,?,?,?,74,?,41,?,?,?,?,?,?,40,?,43
"Adrenalin Misfits","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,44,?,?,?,?,?,45,?,30,65,?,?,?,?,?,?,60,?,?,?,?,?,?,?,30,?,40,?,?,?,?,?,?,?,?,?,?,62,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,52,45,60,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,50,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37,70,?,?,?,55,30,?,?,56,?,50,?,?,50,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,40,40,?,?,?,?,70,?,?,?,?,?,59,?,?,?,?,?,?,55,?,?,?,50
"Otomedius Excellent","X360",58,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,38,?,?,?,67,?,?,20,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,48
"DanceMasters","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,70,?,?,?,?,?,?,?,?,?,?,70,60,?,?,?,?,?,?,?,?,77,?,?,?,50,60,?,?,63,85,?,40,?,?,?,?,?,?,?,?,?,?,?,60,60,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,65,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,85,?,?,?,?,50,?,?,?,?,60,?,?,85,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,40,?,?,?,?,?,75,?,?,?,?,?,41,?,?,?,?,?,?,70,?,?,?,63
"Deca Sports Freedom","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17,?,20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,10,?,?,?,?,?,?,?,?,?,45,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,24,50,?,?,?,?,?,?,?,?,?,20,?,?,35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,30,?,?,?,?,?,?,?,?,?,?,10,?,?,?,?,?,?,?,?,?,?,26
"NeverDead","X360",16,?,?,61,60,?,?,?,?,?,?,?,?,63,?,?,?,?,65,?,60,?,?,?,45,?,?,?,?,?,?,?,?,?,20,?,?,?,60,60,70,?,?,?,60,?,70,?,?,?,?,?,?,?,40,?,?,?,40,?,?,?,40,?,?,20,?,?,?,50,?,?,60,?,?,43,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,30,?,?,58,?,?,?,?,?,?,80,40,?,?,?,?,?,?,30,?,?,?,40,50,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,45,?,?,?,70,47,55,?,?,?,?,?,75,40,?,70,?,?,?,37,?,?,?,?,?,?,?,?,?,60,?,?,?,?,47,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,72,?,?,?,60,50,45,?,?,?,?,?,?,?,?,?,?,65,?,40,?,52
"You Don't Know Jack","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,84,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,75,?,?,?,?,87,?,?,70,?,80,?,?,83,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,?,?,67,?,?,?,?,95,88,?,80,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,100,?,?,?,?,60,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,82
"Yoostar 2: In The Movies","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,0,?,?,?,?,72,?,50,?,42,?,?,?,?,?,?,40,?,?,?,?,?,?,?,70,?,?,?,?,20,?,52,?,?,45,?,?,?,?,?,?,?,58,?,?,16,?,?,?,51,?,?,?,?,?,?,?,50,?,?,?,77,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,40,?,?,?,?,?,60,?,?,?,?,?,?,55,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,52,?,58,?,?,?,?,?,?,?,?,50
"WRC: FIA World Rally Championship","X360",?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,60,50,?,?,?,?,?,?,?,70,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,60,?,65,?,?,?,?,?,?,78,?,?,?,?,?,?,?,70,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,60,?,?,?,?,?,70,65,?,?,?,58,?,?,?,?,?,?,?,?,70,?,66
"Apache: Air Assault","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,58,?,?,?,?,72,?,?,?,75,75,?,?,?,70,60,?,?,55,?,?,?,?,?,?,?,?,?,?,70,?,74,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,82,?,?,?,?,?,?,?,75,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,77,?,?,?,71,?,?,50,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,77,?,?,?,70,?,?,?,?,?,75,?,?,?,75,?,?,?,?,?,?,?,?,?,?,70
"James Bond 007: Blood Stone","X360",67,?,?,68,?,?,?,60,?,?,?,?,70,?,50,?,?,?,?,?,74,?,?,?,69,?,78,?,?,80,?,60,?,?,50,?,62,?,?,?,50,?,?,?,50,?,60,?,60,?,70,70,?,?,?,?,?,86,75,?,?,?,?,?,?,?,?,44,?,?,60,50,75,?,?,61,55,60,50,?,?,?,?,?,?,70,60,?,?,?,?,50,?,?,?,50,63,?,?,?,?,60,?,?,?,?,?,58,60,75,?,?,60,?,40,?,?,?,?,50,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,65,?,?,?,70,50,70,?,?,?,?,?,?,60,60,?,?,?,?,?,76,?,55,?,?,?,?,?,40,?,69,75,?,?,?,?,70,?,?,?,80,?,?,50,?,?,?,80,?,?,73,?,?,50,80,?,?,?,60,60,70,?,?,?,60,61,?,?,?,?,?,75,?,?,?,62
"Fight Night Champion","X360",83,?,?,88,?,?,?,?,?,?,?,90,80,?,95,?,?,?,?,?,84,?,?,?,85,?,?,?,?,93,?,100,?,?,?,?,?,?,?,?,?,?,?,?,80,?,80,?,90,?,?,82,?,?,?,?,?,83,90,91,?,?,100,?,?,?,?,90,?,85,90,91,85,?,?,?,80,80,?,?,?,?,?,?,?,90,80,?,?,?,80,80,?,?,?,?,?,?,?,?,?,80,?,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,90,?,?,?,?,?,92,92,?,?,?,?,?,85,90,?,85,?,?,?,87,?,91,?,?,?,?,?,?,?,90,90,?,?,?,?,80,?,91,?,?,?,?,90,?,?,80,80,?,?,91,?,?,70,90,?,?,?,85,80,85,?,?,?,81,82,83,75,?,?,?,90,?,90,?,86
"Green Lantern: Rise of the Manhunters","X360",?,?,?,64,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,67,60,?,?,?,?,40,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,73,?,?,?,?,?,?,?,60,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,40,?,?,?,?,?,?,?,65,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,58,?,65,?,?,?,?,?,?,?,?,59
"Street Fighter X Tekken","X360",?,?,?,?,87,?,?,?,?,?,?,?,80,82,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,84,?,?,?,90,?,?,?,90,?,80,?,?,?,85,81,?,?,?,?,?,93,88,83,?,?,80,?,?,?,?,87,?,?,?,?,85,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,86,?,?,?,?,?,60,?,80,?,?,91,?,?,91,?,?,?,91,60,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,95,?,?,?,?,88,84,?,?,?,?,?,80,90,?,?,?,?,83,90,?,?,?,?,?,?,?,?,?,?,90,?,?,?,?,80,?,?,?,?,?,?,80,?,?,?,90,75,?,?,?,?,?,87,?,?,?,90,80,85,?,?,?,?,79,90,85,?,?,?,?,?,?,?,83
"PopCap Arcade Vol 2","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,87,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,67
"Marvel Super Hero Squad: The Infinity Gauntlet","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,?,?,?,50,?,?,?,?,?,?,?,?,65,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,?,?,55
"Harry Potter and the Deathly Hallows, Part 2","X360",?,?,?,54,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,40,?,?,?,?,?,45,?,?,?,?,?,?,40,65,?,?,?,?,?,?,?,?,48,?,30,40,?,40,?,?,54,?,?,30,?,40,?,?,?,?,?,40,?,?,?,?,30,?,?,?,?,36,?,?,?,?,10,?,?,?,?,?,?,?,?,?,76,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,30,55,?,?,?,?,?,?,60,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,35,?,?,?,?,40,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,50,?,?,?,?,?,?,25,?,?,?,?,?,?,?,?,44
"Create","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,68,?,?,70,?,60,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,70,40,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,63,?,?,?,?,?,?,65,80,?,?,?,?,72,?,?,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,58,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,62,?,?,?,?,?,?,?,?,?,?,60
"Operation Flashpoint: Red River","X360",?,?,?,78,?,?,?,?,?,?,?,50,?,69,70,?,?,?,?,?,?,?,?,?,?,?,?,?,60,69,?,?,80,?,60,?,?,?,?,?,60,?,?,?,80,?,80,70,?,50,70,75,?,?,?,?,?,91,60,?,?,?,50,?,?,65,?,70,?,60,80,?,65,?,?,64,?,80,60,?,70,?,?,?,?,?,70,?,?,60,?,60,?,82,83,?,70,?,?,?,?,?,?,?,?,?,?,58,?,50,?,74,?,?,80,?,?,?,?,75,?,?,?,76,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,75,?,?,80,60,80,75,?,?,75,?,?,70,70,?,70,?,?,?,?,?,73,?,?,?,?,?,?,?,70,80,?,?,?,?,?,?,50,?,?,?,?,?,?,?,70,70,?,?,75,?,?,70,60,?,?,?,?,50,75,?,?,?,66,?,73,62,?,?,?,?,?,70,?,69
